BOM_ID,Product_ID,Material_ID,Quantity_Required,Wastage_Percent,Effective_From,BOM_Status
BOM001,P001,RM001,1,2,01/01/2025,Active
BOM002,P001,RM002,1,1.5,01/01/2025,Active
BOM003,P001,RM003,1,2,01/01/2025,Active
BOM004,P001,RM004,1,1,01/01/2025,Active
BOM005,P001,RM006,1,1,01/01/2025,Active
BOM006,P001,RM007,1,1,01/01/2025,Active
BOM007,P001,RM008,1,2,01/01/2025,Active
BOM008,P001,RM009,2,1,01/01/2025,Active
BOM009,P001,RM022,1,2,01/01/2025,Active
BOM010,P001,RM023,1,1,01/01/2025,Active
BOM011,P001,RM024,1,0.5,01/01/2025,Active
BOM012,P001,RM025,1,1,01/01/2025,Active
BOM013,P002,RM001,1,2,01/01/2025,Active
BOM014,P002,RM002,1,1.5,01/01/2025,Active
BOM015,P002,RM003,1,2,01/01/2025,Active
BOM016,P002,RM004,1,1,01/01/2025,Active
BOM017,P002,RM006,1,1,01/01/2025,Active
BOM018,P002,RM007,1,1,01/01/2025,Active
BOM019,P002,RM008,1,2,01/01/2025,Active
BOM020,P002,RM009,2,1,01/01/2025,Active
BOM021,P002,RM022,1,2,01/01/2025,Active
BOM022,P002,RM023,1,1,01/01/2025,Active
BOM023,P002,RM024,1,0.5,01/01/2025,Active
BOM024,P002,RM025,1,1,01/01/2025,Active
BOM025,P003,RM001,1,2,01/01/2025,Active
BOM026,P003,RM002,1,1.5,01/01/2025,Active
BOM027,P003,RM003,1,2,01/01/2025,Active
BOM028,P003,RM004,1,1,01/01/2025,Active
BOM029,P003,RM006,1,1,01/01/2025,Active
BOM030,P003,RM007,1,1,01/01/2025,Active
BOM031,P003,RM008,1,2,01/01/2025,Active
BOM032,P003,RM009,2,1,01/01/2025,Active
BOM033,P003,RM022,1,2,01/01/2025,Active
BOM034,P003,RM023,1,1,01/01/2025,Active
BOM035,P003,RM024,1,0.5,01/01/2025,Active
BOM036,P003,RM025,1,1,01/01/2025,Active
BOM037,P004,RM001,1,2,01/01/2025,Active
BOM038,P004,RM002,1,1.5,01/01/2025,Active
BOM039,P004,RM003,1,2,01/01/2025,Active
BOM040,P004,RM004,1,1,01/01/2025,Active
BOM041,P004,RM006,1,1,01/01/2025,Active
BOM042,P004,RM007,1,1,01/01/2025,Active
BOM043,P004,RM008,1,2,01/01/2025,Active
BOM044,P004,RM009,2,1,01/01/2025,Active
BOM045,P004,RM021,2,1.5,01/01/2025,Active
BOM046,P004,RM022,1,2,01/01/2025,Active
BOM047,P004,RM023,1,1,01/01/2025,Active
BOM048,P004,RM024,1,0.5,01/01/2025,Active
BOM049,P004,RM025,1,1,01/01/2025,Active
BOM050,P005,RM001,1,2,01/01/2025,Active
BOM051,P005,RM002,1,1.5,01/01/2025,Active
BOM052,P005,RM003,1,2,01/01/2025,Active
BOM053,P005,RM004,1,1,01/01/2025,Active
BOM054,P005,RM005,1,2,01/01/2025,Active
BOM055,P005,RM006,1,1,01/01/2025,Active
BOM056,P005,RM007,1,1,01/01/2025,Active
BOM057,P005,RM008,1,2,01/01/2025,Active
BOM058,P005,RM009,2,1,01/01/2025,Active
BOM059,P005,RM021,2,1.5,01/01/2025,Active
BOM060,P005,RM022,1,2,01/01/2025,Active
BOM061,P005,RM023,1,1,01/01/2025,Active
BOM062,P005,RM024,1,0.5,01/01/2025,Active
BOM063,P005,RM025,1,1,01/01/2025,Active
BOM064,P006,RM001,1,2,01/01/2025,Active
BOM065,P006,RM002,1,1.5,01/01/2025,Active
BOM066,P006,RM003,1,2,01/01/2025,Active
BOM067,P006,RM006,1,1,01/01/2025,Active
BOM068,P006,RM008,1,2,01/01/2025,Active
BOM069,P006,RM009,2,1,01/01/2025,Active
BOM070,P006,RM016,1,2,01/01/2025,Active
BOM071,P006,RM022,1,2,01/01/2025,Active
BOM072,P006,RM023,1,1,01/01/2025,Active
BOM073,P006,RM024,1,0.5,01/01/2025,Active
BOM074,P006,RM025,1,1,01/01/2025,Active
BOM075,P007,RM001,1,2,01/01/2025,Active
BOM076,P007,RM002,1,1.5,01/01/2025,Active
BOM077,P007,RM003,1,2,01/01/2025,Active
BOM078,P007,RM006,1,1,01/01/2025,Active
BOM079,P007,RM008,1,2,01/01/2025,Active
BOM080,P007,RM009,2,1,01/01/2025,Active
BOM081,P007,RM022,1,2,01/01/2025,Active
BOM082,P007,RM023,1,1,01/01/2025,Active
BOM083,P007,RM024,1,0.5,01/01/2025,Active
BOM084,P007,RM025,1,1,01/01/2025,Active
BOM085,P008,RM001,1,2,01/01/2025,Active
BOM086,P008,RM002,1,1.5,01/01/2025,Active
BOM087,P008,RM006,1,1,01/01/2025,Active
BOM088,P008,RM008,1,2,01/01/2025,Active
BOM089,P008,RM009,2,1,01/01/2025,Active
BOM090,P008,RM010,0.35,3,01/01/2025,Active
BOM091,P008,RM012,1.5,2.5,01/01/2025,Active
BOM092,P008,RM022,1,2,01/01/2025,Active
BOM093,P008,RM023,1,1,01/01/2025,Active
BOM094,P008,RM024,1,0.5,01/01/2025,Active
BOM095,P008,RM025,1,1,01/01/2025,Active
BOM096,P009,RM006,1,1,01/01/2025,Active
BOM097,P009,RM013,1,2.5,01/01/2025,Active
BOM098,P009,RM014,1,2,01/01/2025,Active
BOM099,P009,RM015,1,1.5,01/01/2025,Active
BOM100,P009,RM016,1,1,01/01/2025,Active
BOM101,P009,RM017,0.5,3,01/01/2025,Active
BOM102,P009,RM018,1,2,01/01/2025,Active
BOM103,P009,RM021,2,1.5,01/01/2025,Active
BOM104,P009,RM022,1,2,01/01/2025,Active
BOM105,P009,RM023,1,1,01/01/2025,Active
BOM106,P009,RM024,1,0.5,01/01/2025,Active
BOM107,P009,RM025,1,1,01/01/2025,Active
BOM108,P010,RM006,1,1,01/01/2025,Active
BOM109,P010,RM013,1,2.5,01/01/2025,Active
BOM110,P010,RM014,1,2,01/01/2025,Active
BOM111,P010,RM015,1,1.5,01/01/2025,Active
BOM112,P010,RM016,1,1,01/01/2025,Active
BOM113,P010,RM017,1.2,3,01/01/2025,Active
BOM114,P010,RM018,1,2,01/01/2025,Active
BOM115,P010,RM021,2,1.5,01/01/2025,Active
BOM116,P010,RM022,1,2,01/01/2025,Active
BOM117,P010,RM023,1,1,01/01/2025,Active
BOM118,P010,RM024,1,0.5,01/01/2025,Active
BOM119,P010,RM025,1,1,01/01/2025,Active
BOM120,P011,RM006,1,1,01/01/2025,Active
BOM121,P011,RM019,2,3,01/01/2025,Active
BOM122,P011,RM021,2,1.5,01/01/2025,Active
BOM123,P011,RM022,1,2,01/01/2025,Active
BOM124,P011,RM023,1,1,01/01/2025,Active
BOM125,P011,RM024,1,0.5,01/01/2025,Active
BOM126,P011,RM025,1,1,01/01/2025,Active
BOM127,P012,RM006,1,1,01/01/2025,Active
BOM128,P012,RM020,1,3,01/01/2025,Active
BOM129,P012,RM021,2,1.5,01/01/2025,Active
BOM130,P012,RM022,1,2,01/01/2025,Active
BOM131,P012,RM023,1,1,01/01/2025,Active
BOM132,P012,RM024,1,0.5,01/01/2025,Active
BOM133,P012,RM025,1,1,01/01/2025,Active
