Production_ID,Production_Date,Product_ID,Planned_Quantity,Produced_Quantity,Rejected_Quantity,Shift,Production_Line
PRD0059,2025-01-01 00:00:00,P005,447,424,15,Evening,Line 2
PRD0490,2025-01-01 00:00:00,P003,175,167,4,Night,Line 2
PRD0136,2025-01-01 00:00:00,P005,364,332,12,Night,Line 2
PRD0100,2025-01-01 00:00:00,P004,257,240,8,Evening,Line 1
PRD0199,2025-01-02 00:00:00,P004,472,433,11,Night,Line 1
PRD0024,2025-01-02 00:00:00,P004,212,196,6,Morning,Line 1
PRD0352,2025-01-03 00:00:00,P011,386,370,5,Night,Line 5
PRD0361,2025-01-04 00:00:00,P002,232,219,8,Morning,Line 1
PRD0118,2025-01-06 00:00:00,P007,430,397,9,Morning,Line 1
PRD0022,2025-01-06 00:00:00,P007,203,185,7,Night,Line 1
PRD0082,2025-01-07 00:00:00,P001,488,449,10,Morning,Line 1
PRD0384,2025-01-08 00:00:00,P007,185,178,3,Evening,Line 1
PRD0121,2025-01-10 00:00:00,P003,429,414,7,Evening,Line 2
PRD0366,2025-01-10 00:00:00,P010,152,139,5,Morning,Line 4
PRD0116,2025-01-10 00:00:00,P010,95,89,2,Evening,Line 4
PRD0332,2025-01-10 00:00:00,P012,446,429,8,Morning,Line 5
PRD0077,2025-01-10 00:00:00,P001,339,329,2,Morning,Line 1
PRD0107,2025-01-11 00:00:00,P009,427,410,13,Evening,Line 4
PRD0002,2025-01-12 00:00:00,P003,293,281,9,Night,Line 2
PRD0441,2025-01-12 00:00:00,P011,450,438,6,Morning,Line 5
PRD0307,2025-01-13 00:00:00,P005,493,464,5,Morning,Line 2
PRD0154,2025-01-13 00:00:00,P003,453,445,2,Morning,Line 2
PRD0405,2025-01-13 00:00:00,P009,199,186,7,Morning,Line 4
PRD0494,2025-01-13 00:00:00,P007,296,279,6,Night,Line 1
PRD0220,2025-01-14 00:00:00,P007,229,216,3,Morning,Line 1
PRD0147,2025-01-15 00:00:00,P006,92,91,1,Morning,Line 1
PRD0273,2025-01-16 00:00:00,P007,112,108,1,Evening,Line 1
PRD0065,2025-01-16 00:00:00,P005,385,356,12,Morning,Line 2
PRD0261,2025-01-17 00:00:00,P011,448,425,6,Evening,Line 5
PRD0060,2025-01-19 00:00:00,P010,287,279,7,Evening,Line 4
PRD0055,2025-01-19 00:00:00,P006,409,381,11,Morning,Line 1
PRD0218,2025-01-20 00:00:00,P012,277,262,2,Evening,Line 5
PRD0009,2025-01-20 00:00:00,P003,100,94,2,Evening,Line 2
PRD0318,2025-01-22 00:00:00,P004,284,275,9,Morning,Line 1
PRD0184,2025-01-23 00:00:00,P003,141,133,1,Evening,Line 2
PRD0170,2025-01-23 00:00:00,P003,343,330,9,Night,Line 2
PRD0419,2025-01-23 00:00:00,P008,499,482,15,Evening,Line 1
PRD0483,2025-01-24 00:00:00,P002,113,110,2,Evening,Line 1
PRD0404,2025-01-27 00:00:00,P012,175,173,1,Evening,Line 5
PRD0312,2025-01-27 00:00:00,P006,416,397,3,Evening,Line 1
PRD0006,2025-01-28 00:00:00,P002,414,382,10,Morning,Line 1
PRD0120,2025-01-29 00:00:00,P009,241,227,6,Night,Line 4
PRD0402,2025-01-29 00:00:00,P005,191,181,3,Morning,Line 2
PRD0374,2025-01-29 00:00:00,P010,343,337,6,Night,Line 4
PRD0342,2025-01-30 00:00:00,P004,458,452,2,Evening,Line 1
PRD0163,2025-01-31 00:00:00,P005,305,286,5,Night,Line 2
PRD0294,2025-01-31 00:00:00,P011,127,123,2,Morning,Line 5
PRD0353,2025-02-02 00:00:00,P011,409,382,7,Morning,Line 5
PRD0375,2025-02-05 00:00:00,P005,437,408,9,Evening,Line 2
PRD0141,2025-02-05 00:00:00,P002,88,82,1,Evening,Line 1
PRD0292,2025-02-05 00:00:00,P002,233,222,5,Morning,Line 1
PRD0074,2025-02-07 00:00:00,P003,175,165,2,Evening,Line 2
PRD0390,2025-02-08 00:00:00,P003,100,93,1,Evening,Line 2
PRD0138,2025-02-09 00:00:00,P009,311,299,10,Morning,Line 4
PRD0211,2025-02-12 00:00:00,P010,258,244,5,Morning,Line 4
PRD0037,2025-02-12 00:00:00,P005,210,194,4,Morning,Line 2
PRD0150,2025-02-12 00:00:00,P007,229,219,6,Evening,Line 1
PRD0004,2025-02-12 00:00:00,P009,319,301,3,Morning,Line 4
PRD0333,2025-02-13 00:00:00,P007,494,471,9,Morning,Line 1
PRD0455,2025-02-13 00:00:00,P005,370,356,11,Evening,Line 2
PRD0445,2025-02-15 00:00:00,P009,117,110,2,Evening,Line 4
PRD0428,2025-02-16 00:00:00,P005,415,390,7,Evening,Line 2
PRD0203,2025-02-17 00:00:00,P011,298,289,5,Evening,Line 5
PRD0126,2025-02-17 00:00:00,P004,352,328,5,Night,Line 1
PRD0284,2025-02-18 00:00:00,P006,356,335,3,Morning,Line 1
PRD0317,2025-02-19 00:00:00,P008,341,322,3,Morning,Line 1
PRD0304,2025-02-19 00:00:00,P010,356,326,12,Morning,Line 4
PRD0034,2025-02-20 00:00:00,P003,415,402,6,Evening,Line 2
PRD0158,2025-02-22 00:00:00,P012,253,246,2,Night,Line 5
PRD0311,2025-02-24 00:00:00,P002,94,86,3,Night,Line 1
