Purchase_ID,Purchase_Date,Supplier_ID,Material_ID,Purchase_Quantity,Unit_Cost,Discount_Percent,GST_Percent,Delivery_Status
PUR0575,01/01/2025 00:00,S006,RM005,122,429.99,0,18,Delivered
PUR0463,01/01/2025 00:00,S005,RM014,232,1439.59,3,18,Delivered
PUR0637,01/01/2025 00:00,S017,RM020,80,370.94,0,18,Delivered
PUR0639,01/01/2025 00:00,S016,RM005,439,432.72,3,18,Delivered
PUR0070,02/01/2025 00:00,S027,RM025,389,33.58,2,12,Partial
PUR0112,02/01/2025 00:00,S004,RM021,666,34.31,5,18,Delivered
PUR0118,02/01/2025 00:00,S025,RM024,174,18.22,0,12,Delivered
PUR0437,04/01/2025 00:00,S011,RM011,144,127.92,0,18,Delivered
PUR0595,06/01/2025 00:00,S008,RM012,115,89.87,5,18,Delivered
PUR0650,06/01/2025 00:00,S003,RM021,418,33.8,5,18,Delayed
PUR0191,08/01/2025 00:00,S019,RM014,541,1429.29,5,18,Delayed
PUR0694,08/01/2025 00:00,S005,RM005,286,404.06,5,18,Delayed
PUR0537,08/01/2025 00:00,S028,RM010,289,764.17,0,18,Delivered
PUR0429,09/01/2025 00:00,S003,RM003,150,303.32,0,18,Delivered
PUR0076,11/01/2025 00:00,S026,RM025,222,31.16,5,12,Delivered
PUR0206,12/01/2025 00:00,S007,RM012,270,98.43,10,18,Partial
PUR0170,12/01/2025 00:00,S015,RM011,105,122.68,2,18,Delivered
PUR0365,13/01/2025 00:00,S004,RM003,171,315.81,3,18,Delayed
PUR0060,13/01/2025 00:00,S006,RM018,254,629.04,0,18,Delivered
PUR0153,13/01/2025 00:00,S008,RM014,205,1562.63,3,18,Delivered
PUR0132,14/01/2025 00:00,S013,RM006,155,91.32,0,18,Delivered
PUR0113,15/01/2025 00:00,S004,RM003,184,335.62,10,18,Delivered
PUR0700,15/01/2025 00:00,S020,RM020,222,367.96,5,18,Delivered
PUR0296,15/01/2025 00:00,S028,RM020,225,339.19,5,18,Delivered
PUR0419,15/01/2025 00:00,S009,RM015,162,270.92,0,18,Delivered
PUR0213,16/01/2025 00:00,S001,RM006,150,90.14,3,18,Delivered
PUR0165,17/01/2025 00:00,S008,RM004,364,241.78,5,18,Delivered
PUR0352,17/01/2025 00:00,S021,RM017,190,207.76,0,18,Delivered
PUR0353,17/01/2025 00:00,S016,RM014,273,1486.91,5,18,Delivered
PUR0036,17/01/2025 00:00,S002,RM021,198,33.65,3,18,Delayed
PUR0518,17/01/2025 00:00,S011,RM011,316,131.27,2,18,Delivered
PUR0254,17/01/2025 00:00,S026,RM024,120,19.28,0,12,Delivered
PUR0162,18/01/2025 00:00,S010,RM008,247,44.78,0,18,Delivered
PUR0150,19/01/2025 00:00,S021,RM017,324,214.88,5,18,Delivered
PUR0050,20/01/2025 00:00,S005,RM018,427,634.11,2,18,Delivered
PUR0457,21/01/2025 00:00,S014,RM019,196,185.97,10,18,Delayed
PUR0446,22/01/2025 00:00,S014,RM006,290,82.31,2,18,Delivered
PUR0242,22/01/2025 00:00,S016,RM014,242,1430.14,2,18,Delivered
PUR0443,22/01/2025 00:00,S021,RM017,167,199.42,5,18,Delivered
PUR0230,23/01/2025 00:00,S003,RM021,376,35.48,0,18,Delivered
PUR0553,24/01/2025 00:00,S023,RM013,101,468.26,10,18,Delivered
PUR0347,24/01/2025 00:00,S008,RM014,167,1374.15,0,18,Delayed
PUR0004,24/01/2025 00:00,S016,RM018,238,654.64,5,18,Delivered
PUR0247,25/01/2025 00:00,S025,RM025,306,33.83,0,12,Delayed
PUR0223,25/01/2025 00:00,S019,RM020,115,329.05,7,18,Delivered
PUR0236,26/01/2025 00:00,S011,RM010,164,805.14,0,18,Delivered
PUR0632,26/01/2025 00:00,S014,RM019,309,178.78,5,18,Delivered
PUR0110,28/01/2025 00:00,S019,RM020,130,364.31,5,18,Delayed
PUR0627,28/01/2025 00:00,S007,RM014,140,1477.07,0,18,Delivered
PUR0428,28/01/2025 00:00,S027,RM023,408,67.69,7,12,Delivered
PUR0145,29/01/2025 00:00,S024,RM022,92,51.93,0,18,Delivered
PUR0422,29/01/2025 00:00,S024,RM022,220,54.66,2,18,Delivered
PUR0261,29/01/2025 00:00,S003,RM011,148,131.15,7,18,Delivered
PUR0689,29/01/2025 00:00,S020,RM019,84,198.76,0,18,Delivered
PUR0023,31/01/2025 00:00,S019,RM019,276,189.66,2,18,Delivered
PUR0240,31/01/2025 00:00,S026,RM024,176,16.93,5,12,Delivered
PUR0323,01/02/2025 00:00,S002,RM021,258,33.26,5,18,Delivered
PUR0561,01/02/2025 00:00,S021,RM017,211,222.95,0,18,Delivered
PUR0299,01/02/2025 00:00,S005,RM012,279,94.66,0,18,Delivered
PUR0211,01/02/2025 00:00,S010,RM006,142,86.25,0,18,Delivered
PUR0504,02/02/2025 00:00,S018,RM013,387,472.42,10,18,Delivered
PUR0139,02/02/2025 00:00,S025,RM025,331,30.75,0,12,Delayed
PUR0683,02/02/2025 00:00,S015,RM002,245,187.27,7,18,Delivered
PUR0003,03/02/2025 00:00,S006,RM018,455,638.69,2,18,Delivered
PUR0420,03/02/2025 00:00,S028,RM020,355,366.07,2,18,Delivered
PUR0207,04/02/2025 00:00,S015,RM002,418,187.54,0,18,Delivered
PUR0022,04/02/2025 00:00,S001,RM015,278,270.59,5,18,Delivered
PUR0237,04/02/2025 00:00,S011,RM010,424,751.33,2,18,Delivered
PUR0361,05/02/2025 00:00,S028,RM010,196,757.18,10,18,Delivered
PUR0300,05/02/2025 00:00,S022,RM025,112,32.18,0,12,Delivered
PUR0605,05/02/2025 00:00,S023,RM019,403,186.36,5,18,Delivered
PUR0434,05/02/2025 00:00,S023,RM020,269,358.5,5,18,Delayed
PUR0381,06/02/2025 00:00,S015,RM003,702,316.43,2,18,Delivered
PUR0245,06/02/2025 00:00,S011,RM002,370,189.64,3,18,Partial
PUR0544,06/02/2025 00:00,S008,RM014,670,1486.07,0,18,Delivered
PUR0506,07/02/2025 00:00,S005,RM004,131,250.94,5,18,Delivered
PUR0628,07/02/2025 00:00,S017,RM015,147,254.01,0,18,Delivered
PUR0453,08/02/2025 00:00,S007,RM018,140,612.16,2,18,Delivered
PUR0158,08/02/2025 00:00,S016,RM012,162,101.32,5,18,Delivered
PUR0441,09/02/2025 00:00,S014,RM008,198,43.79,0,18,Delayed
PUR0465,09/02/2025 00:00,S013,RM006,161,83.7,3,18,Delivered
PUR0205,10/02/2025 00:00,S019,RM015,350,274.7,2,18,Delivered
PUR0590,10/02/2025 00:00,S013,RM007,110,111.38,0,18,Delivered
PUR0074,10/02/2025 00:00,S022,RM024,252,19.43,0,12,Delivered
PUR0260,11/02/2025 00:00,S022,RM024,224,18.07,2,12,Delivered
PUR0229,12/02/2025 00:00,S004,RM002,127,184.81,7,18,Delivered
PUR0096,13/02/2025 00:00,S017,RM019,181,188.31,10,18,Delivered
PUR0216,13/02/2025 00:00,S022,RM025,198,30.47,0,12,Delivered
PUR0288,13/02/2025 00:00,S020,RM014,97,1523.98,10,18,Delayed
PUR0071,14/02/2025 00:00,S021,RM017,332,225.37,7,18,Delivered
PUR0640,15/02/2025 00:00,S013,RM019,327,196.72,10,18,Delivered
PUR0147,15/02/2025 00:00,S017,RM013,134,460.86,0,18,Delivered
PUR0080,15/02/2025 00:00,S006,RM004,515,242.55,5,18,Delayed
PUR0020,16/02/2025 00:00,S008,RM014,219,1454.22,0,18,Delayed
PUR0527,16/02/2025 00:00,S004,RM011,674,120.06,3,18,Delivered
PUR0233,16/02/2025 00:00,S017,RM015,344,256.09,0,18,Delayed
PUR0615,19/02/2025 00:00,S019,RM014,332,1452.53,0,18,Delayed
PUR0507,19/02/2025 00:00,S008,RM012,135,90.86,5,18,Delivered
PUR0250,20/02/2025 00:00,S007,RM012,87,91.81,0,18,Delayed
PUR0619,20/02/2025 00:00,S008,RM018,393,643.44,0,18,Delivered
PUR0558,20/02/2025 00:00,S006,RM004,276,232.84,3,18,Delivered
PUR0495,20/02/2025 00:00,S007,RM018,155,657.5,3,18,Partial
PUR0545,21/02/2025 00:00,S027,RM024,121,17.32,5,12,Delivered
PUR0321,21/02/2025 00:00,S017,RM010,262,839.38,7,18,Delivered
PUR0618,22/02/2025 00:00,S015,RM002,192,186.47,10,18,Delivered
PUR0582,22/02/2025 00:00,S025,RM023,170,63.72,0,12,Delivered
PUR0524,22/02/2025 00:00,S025,RM024,115,16.97,0,12,Delivered
PUR0581,23/02/2025 00:00,S023,RM015,278,250.73,0,18,Delivered
PUR0146,23/02/2025 00:00,S019,RM019,633,197.44,0,18,Delayed
PUR0143,24/02/2025 00:00,S016,RM012,653,97.33,2,18,Delivered
PUR0435,24/02/2025 00:00,S007,RM012,187,89.41,5,18,Partial
PUR0531,24/02/2025 00:00,S020,RM020,377,355.14,2,18,Delivered
PUR0183,25/02/2025 00:00,S012,RM009,209,67.06,5,18,Delivered
